date;ref;#6182;#6179;#617B;pm2.5#6182;pm2.5#6179;pm2.5#617B
2017-10-27 12:00:00;10.4;;19.533333333333303;24.5;;18.466666666666697;20.7
2017-10-27 12:15:00;12.6;;17.75;22.75;;16.65;19.2
2017-10-27 12:30:00;12.6;;17.45;21.5;;16.55;18.4
2017-10-27 12:45:00;12.6;;16.75;20.7;;15.8;18.15
2017-10-27 13:00:00;12.6;;16.5;19.9;;15.6;17.15
2017-10-27 13:15:00;9.0;;14.55;16.5;;13.75;14.533333333333301
2017-10-27 13:30:00;9.0;;17.2;21.75;;16.2;18.9
2017-10-27 13:45:00;9.0;;15.533333333333301;20.7;;14.6333333333333;18.0
2017-10-27 14:00:00;9.0;;16.5;18.1;;15.45;15.65
2017-10-27 14:15:00;11.1;;15.25;13.85;;14.25;12.05
2017-10-27 14:30:00;11.1;;15.95;15.1;;14.95;13.25
2017-10-27 14:45:00;11.1;;16.2;17.95;;15.2;15.5
2017-10-27 15:00:00;11.1;;17.45;20.0666666666667;;16.3;17.1666666666667
2017-10-27 15:15:00;10.0;;16.3;23.2;;15.15;19.4
2017-10-27 15:30:00;10.0;;18.4333333333333;19.9;;17.2;17.05
2017-10-27 15:45:00;10.0;;19.95;25.75;;18.65;22.35
2017-10-27 16:00:00;10.1;;21.05;26.55;;19.6;23.0
2017-10-27 16:15:00;14.0;;25.6;29.85;;23.9;25.2
2017-10-27 16:30:00;14.0;;24.9;33.3;;23.15;27.85
2017-10-27 16:45:00;14.0;;23.05;35.133333333333304;;21.5;29.6
2017-10-27 17:00:00;14.1;;24.45;32.15;;22.85;26.9
2017-10-27 17:15:00;17.3;;27.4333333333333;37.4;;25.466666666666693;31.4
2017-10-27 17:30:00;17.3;;28.85;43.95;;26.9;37.1
2017-10-27 17:45:00;17.3;;31.9;40.55;;29.65;33.65
2017-10-27 18:00:00;17.2;;29.65;40.65;;27.7;34.15
2017-10-27 18:15:00;13.7;;29.85;35.75;;27.9;29.95
2017-10-27 18:30:00;13.7;;35.75;38.06666666666671;;32.95;32.0
2017-10-27 18:45:00;13.7;;36.3;40.45;;33.6;34.35
2017-10-27 19:00:00;13.6;;31.6;45.35;;29.233333333333306;38.15
2017-10-27 19:15:00;12.9;;28.0;37.3;;25.95;30.85
2017-10-27 19:30:00;12.9;;28.45;40.15;;26.45;33.6
2017-10-27 19:45:00;12.9;;35.9;47.0;;33.3;39.3
2017-10-27 20:00:00;12.9;;34.25;41.75;;31.85;35.2
2017-10-27 20:15:00;14.5;;37.0;42.6333333333333;;34.4;35.5
2017-10-27 20:30:00;14.5;;40.45;39.15;;37.5;33.4
2017-10-27 20:45:00;14.5;;40.3666666666667;33.9;;37.3;28.9
2017-10-27 21:00:00;14.6;;35.6;35.85;;32.8;29.95
2017-10-27 21:15:00;17.8;;36.9;41.05;;34.25;34.15
2017-10-27 21:30:00;17.8;;33.95;44.15;;31.6;37.1
2017-10-27 21:45:00;17.8;;29.95;36.45;;27.6;31.0
2017-10-27 22:00:00;17.8;;33.0;36.533333333333296;;30.4;30.966666666666693
2017-10-27 22:15:00;17.9;;32.85;41.9;;30.75;35.05
2017-10-27 22:30:00;17.9;;36.7;44.3;;33.9;37.15
2017-10-27 22:45:00;17.9;;31.5;40.95;;29.45;34.5
2017-10-27 23:00:00;17.8;;28.7;37.7;;26.85;31.75
2017-10-27 23:15:00;16.9;;31.9;37.05;;29.65;31.2
2017-10-27 23:30:00;16.9;;35.35;39.95;;32.6;33.2
2017-10-27 23:45:00;16.9;;30.8;37.3333333333333;;28.4;31.1333333333333
2017-10-28 00:00:00;16.9;;25.7;33.5;;23.6;27.95
2017-10-28 00:15:00;13.4;;25.5666666666667;33.9;;23.3666666666667;28.5
2017-10-28 00:30:00;13.4;;29.25;34.5;;27.0;28.85
2017-10-28 00:45:00;13.4;;33.15;35.25;;30.45;29.3
2017-10-28 01:00:00;13.4;;23.9;38.1;;22.1;32.05
2017-10-28 01:15:00;12.4;;31.05;35.15;;28.95;29.7
2017-10-28 01:30:00;12.4;;31.05;33.1666666666667;;29.05;27.8
2017-10-28 01:45:00;12.4;;27.35;27.25;;25.5;23.0
2017-10-28 02:00:00;12.4;;29.5;30.3;;27.266666666666694;25.3
2017-10-28 02:15:00;14.1;;24.45;31.95;;22.4;26.25
2017-10-28 02:30:00;14.1;;40.15;39.5;;35.95;31.65
2017-10-28 02:45:00;14.1;;80.9;80.45;;71.6;62.5
2017-10-28 03:00:00;14.1;;81.85;;;72.95;
2017-10-28 03:15:00;13.3;;82.3;98.7;;72.9;76.1
2017-10-28 03:30:00;13.3;;;;;;
2017-10-28 03:45:00;13.3;;44.7;49.7;;39.5;38.6
2017-10-28 04:00:00;13.3;;;70.5;;;54.0
2017-10-28 04:15:00;12.6;;;;;;
2017-10-28 04:30:00;12.6;;;;;;
2017-10-28 04:45:00;12.6;;;;;;
2017-10-28 05:00:00;12.6;;;20.2;;;16.8
2017-10-28 05:15:00;11.5;;14.25;27.5;;13.2;22.3
2017-10-28 05:30:00;11.5;;48.15;84.0;;42.75;65.0
2017-10-28 05:45:00;11.5;;;;;;
2017-10-28 06:00:00;11.6;;;;;;
2017-10-28 06:15:00;12.4;;;;;;
2017-10-28 06:30:00;12.4;;;;;;
2017-10-28 06:45:00;12.4;;22.8;11.8;;20.7;9.7
2017-10-28 07:00:00;12.4;;11.35;9.6;;10.7;8.1
2017-10-28 07:15:00;11.9;;10.1333333333333;11.1;;9.33333333333333;9.5
2017-10-28 07:30:00;11.9;;13.15;16.65;;12.1;14.1
2017-10-28 07:45:00;11.9;;15.1;19.3;;13.95;16.35
2017-10-28 08:00:00;12.0;;19.5;18.75;;17.9;15.8
2017-10-28 08:15:00;16.4;;18.55;25.35;;17.1;21.4
2017-10-28 08:30:00;16.4;;18.85;28.6;;17.5;24.033333333333307
2017-10-28 08:45:00;16.4;;23.35;24.4;;21.6;20.7
2017-10-28 09:00:00;16.4;;25.3;24.7;;23.4;20.85
2017-10-28 09:15:00;16.5;;24.6;25.7;;22.8;21.95
2017-10-28 09:30:00;16.5;;27.5;28.5;;25.35;24.45
2017-10-28 09:45:00;16.5;;25.15;32.8;;23.1;27.85
2017-10-28 10:00:00;16.5;;27.1;30.6;;25.25;26.05
2017-10-28 10:15:00;15.9;;23.8;24.5666666666667;;22.35;21.266666666666698
2017-10-28 10:30:00;15.9;;24.75;28.7;;23.1;24.9
2017-10-28 10:45:00;15.9;;28.6;33.8;;26.8;29.0
2017-10-28 11:00:00;15.7;;25.7;32.0;;24.1;27.7
2017-10-28 11:15:00;11.8;;29.55;33.0;;27.4;28.3
2017-10-28 11:30:00;11.8;;26.8;37.9;;24.95;32.5
2017-10-28 11:45:00;11.8;;29.15;36.35;;27.5;31.05
2017-10-28 12:00:00;11.9;;28.45;34.4;;27.0;29.7
2017-10-28 12:15:00;12.8;;29.0;32.05;;27.3;27.6
2017-10-28 12:30:00;12.8;;27.3;32.8;;25.7;27.9
2017-10-28 12:45:00;12.8;;29.95;32.8;;28.1;28.25
2017-10-28 13:00:00;12.8;;26.15;35.25;;24.5;30.35
2017-10-28 13:15:00;13.4;;31.75;28.95;;29.55;24.6
2017-10-28 13:30:00;13.4;;34.5;27.6;;32.0;23.5
2017-10-28 13:45:00;13.4;;22.0;31.8;;20.35;27.0
2017-10-28 14:00:00;13.4;;21.6;32.7;;20.15;28.05
2017-10-28 14:15:00;13.2;;30.4;32.3;;28.1333333333333;27.6
2017-10-28 14:30:00;13.2;;31.2;32.3;;28.9;27.8
2017-10-28 14:45:00;13.2;;31.6;39.75;;29.45;33.5
2017-10-28 15:00:00;13.2;;33.45;39.45;;31.25;33.45
2017-10-28 15:15:00;15.9;;29.0;37.4;;27.1;31.55
2017-10-28 15:30:00;15.9;;28.3;38.466666666666704;;26.45;32.6666666666667
2017-10-28 15:45:00;15.9;;28.15;33.7;;26.15;28.55
2017-10-28 16:00:00;15.8;;25.3;28.6;;23.533333333333307;24.3
2017-10-28 16:15:00;12.0;;28.2;34.1;;26.15;28.95
2017-10-28 16:30:00;12.0;;30.5;34.75;;28.25;29.55
2017-10-28 16:45:00;12.0;;30.8;36.55;;28.3;30.85
2017-10-28 17:00:00;12.0;;30.8;31.95;;28.4;27.1
2017-10-28 17:15:00;13.5;;29.0;33.5666666666667;;26.8;28.766666666666694
2017-10-28 17:30:00;13.5;;28.3;29.6;;26.2;25.35
2017-10-28 17:45:00;13.5;;31.3666666666667;33.3;;29.0;27.95
2017-10-28 18:00:00;13.5;;27.05;33.4;;25.1;28.35
2017-10-28 18:15:00;14.2;;24.5;33.1;;22.85;28.1
2017-10-28 18:30:00;14.2;;25.85;32.6;;24.15;27.45
2017-10-28 18:45:00;14.2;;22.1;30.3;;20.6;26.0
2017-10-28 19:00:00;14.2;;21.85;28.6666666666667;;20.45;24.5666666666667
2017-10-28 19:15:00;14.7;;27.2;30.1;;25.4;25.25
2017-10-28 19:30:00;14.7;;27.6;32.65;;25.6;27.45
2017-10-28 19:45:00;14.7;;22.85;25.75;;21.2;21.8
2017-10-28 20:00:00;14.6;;24.35;26.85;;22.85;23.15
2017-10-28 20:15:00;10.1;;25.0;34.4;;23.3;29.0
2017-10-28 20:30:00;10.1;;27.45;31.25;;25.6;26.05
2017-10-28 20:45:00;10.1;;27.75;38.466666666666704;;25.8;32.1666666666667
2017-10-28 21:00:00;10.0;;27.6;31.85;;25.65;26.95
2017-10-28 21:15:00;8.7;;29.3333333333333;30.85;;27.466666666666693;26.4
2017-10-28 21:30:00;8.7;;38.1;32.35;;35.2;27.7
2017-10-28 21:45:00;8.7;;40.6;42.9;;37.35;36.25
2017-10-28 22:00:00;8.7;;31.2;40.45;;28.9;34.45
2017-10-28 22:15:00;11.0;;31.75;37.4;;29.6;31.45
2017-10-28 22:30:00;11.0;;34.1;39.533333333333296;;31.5;33.133333333333304
2017-10-28 22:45:00;11.0;;29.55;37.3;;27.7;31.35
2017-10-28 23:00:00;11.0;;32.8333333333333;42.2;;30.6333333333333;35.6
2017-10-28 23:15:00;12.6;;31.1;45.8;;28.7;38.7
2017-10-28 23:30:00;12.6;;40.0;43.95;;36.95;37.75
2017-10-28 23:45:00;12.6;;34.65;38.3;;32.35;32.95
2017-10-29 00:00:00;12.6;;36.3;40.25;;33.7;34.15
2017-10-29 00:15:00;12.7;;;;;;
2017-10-29 02:15:00;10.6;;;;;;
2017-10-29 02:15:00;10.6;;;;;36.5;30.95
2017-10-29 02:15:00;10.6;;39.45;36.35;;;
2017-10-29 02:15:00;10.6;;39.45;36.35;;36.5;30.95
2017-10-29 02:30:00;10.6;;;;;;
2017-10-29 02:30:00;10.6;;;;;37.6333333333333;30.8
2017-10-29 02:30:00;10.6;;40.6333333333333;35.45;;;
2017-10-29 02:30:00;10.6;;40.6333333333333;35.45;;37.6333333333333;30.8
2017-10-29 02:45:00;10.6;;;;;;
2017-10-29 02:45:00;10.6;;;;;28.95;34.65
2017-10-29 02:45:00;10.6;;31.2;40.25;;;
2017-10-29 02:45:00;10.6;;31.2;40.25;;28.95;34.65
2017-10-29 03:00:00;10.6;;37.7;48.55;;34.8;41.55
2017-10-29 03:15:00;10.9;;37.15;49.65;;34.55;42.15
2017-10-29 03:30:00;10.9;;31.2;45.9;;29.35;38.85
2017-10-29 03:45:00;10.9;;34.2;40.6666666666667;;32.15;34.3333333333333
2017-10-29 04:00:00;10.9;;37.3;33.4;;34.75;28.35
2017-10-29 04:15:00;9.5;;31.6;28.5;;29.233333333333306;24.4
2017-10-29 04:30:00;9.5;;25.05;28.9;;23.25;24.85
2017-10-29 04:45:00;9.5;;21.7;29.2;;20.2;25.0
2017-10-29 05:00:00;9.4;;18.8;29.4;;17.6;25.5
2017-10-29 05:15:00;6.0;;20.3;26.25;;19.05;22.8
2017-10-29 05:30:00;6.0;;24.05;31.033333333333307;;22.35;26.8333333333333
2017-10-29 05:45:00;6.0;;28.3;31.0;;26.0;26.8
2017-10-29 06:00:00;6.1;;23.6;31.25;;21.9;27.05
2017-10-29 06:15:00;11.3;;23.1;31.7;;21.85;27.05
2017-10-29 06:30:00;11.3;;26.25;29.8;;24.65;25.3
2017-10-29 06:45:00;11.3;;25.15;28.9;;23.5;24.65
2017-10-29 07:00:00;11.3;;25.3;32.4;;23.65;27.5
2017-10-29 07:15:00;9.5;;22.15;28.6666666666667;;20.7;24.3666666666667
2017-10-29 07:30:00;9.5;;24.2;35.0;;22.25;29.75
2017-10-29 07:45:00;9.5;;27.0666666666667;32.35;;25.1333333333333;27.6
2017-10-29 08:00:00;9.5;;29.4;26.85;;27.5;23.15
2017-10-29 08:15:00;10.7;;30.55;30.7;;28.7;26.3
2017-10-29 08:30:00;10.7;;31.6;30.8;;29.25;26.75
2017-10-29 08:45:00;10.7;;26.95;29.95;;24.95;25.75
2017-10-29 09:00:00;10.7;;24.05;28.233333333333306;;22.6;24.1333333333333
2017-10-29 09:15:00;11.0;;24.15;27.15;;22.75;23.55
2017-10-29 09:30:00;11.0;;25.8;29.9;;24.1666666666667;25.85
2017-10-29 09:45:00;11.0;;36.05;28.0;;33.85;24.2
2017-10-29 10:00:00;11.1;;44.4;43.9;;41.3;37.1
2017-10-29 10:15:00;13.8;;43.9;46.65;;40.55;39.85
